datetime_utc,co_wrk_aux,no2_wrk_aux,no_wrk_aux,o3_wrk_aux,rh,temp,pema_quant_no2
2025-11-07 09:00:00,0.1622456666666666,0.0070155,0.0414263333333333,0.0201643333333333,67.415214,1.808264,20.1
2025-11-07 10:00:00,0.1701723333333332,0.0065034999999999,0.0412256666666666,0.0196251666666666,64.65745583333333,2.360698166666667,20.5
2025-11-08 19:00:00,0.0564355,-0.0096501666666666,0.0353003333333333,0.0165845,27.0828335,26.460968333333337,5.3
2025-11-19 23:00:00,0.3655501666666667,0.0126874999999999,0.0456734999999999,0.0256945,45.09503333333333,5.732753,32.1
2025-11-20 00:00:00,0.3516655,0.0124429999999999,0.0524448333333333,0.0241103333333333,52.658518666666666,4.0908865,29.4
2025-11-20 04:00:00,0.4478253333333333,0.0096939999999999,0.0705116666666667,0.0190518333333333,67.90597833333334,0.8019528333333333,22.4
2025-11-20 05:00:00,0.2286708333333333,0.006387,0.0456806666666667,0.0177628333333333,66.118034,0.5914780000000001,19.7
2025-11-21 07:00:00,0.4020436666666667,0.0061811666666666,0.0797673333333333,0.0155348333333333,78.78717616666667,1.3079476666666667,16.6
2025-11-21 09:00:00,0.2785958333333333,0.0039736666666666,0.0635008333333333,0.0142351666666666,78.97701433333333,0.9309875,14.0
2025-11-21 10:00:00,0.3048518333333333,0.0049711666666666,0.0777658333333333,0.0138673333333333,78.63098633333334,0.7275998333333333,15.0
2025-11-23 09:00:00,0.128216,0.0032633333333333,0.0337708333333333,0.0173353333333333,74.93673,0.136088,14.6
2025-11-23 10:00:00,0.1717874999999999,0.0037646666666666,0.0442026666666666,0.0164878333333333,77.109621,-0.4361238333333333,14.6
2025-11-23 11:00:00,0.2514501666666667,0.0049131666666666,0.0578813333333333,0.0168614999999999,79.30060733333333,-0.8806833333333334,15.5
2025-11-23 12:00:00,0.3835835,0.005965,0.0729953333333333,0.0153661666666666,70.453971,2.8291813333333335,18.7
2025-11-23 13:00:00,0.2893859999999999,-0.000511,0.0523999999999999,0.0075069999999999,42.490941,9.754624333333334,18.3
2025-11-30 03:00:00,0.2527566666666667,0.0093961666666666,0.0387318333333333,0.0225068333333333,50.971123666666664,1.2197333333333331,28.1
2025-11-30 04:00:00,0.1878076666666666,0.0074086666666666,0.0338841666666666,0.0221428333333333,49.489354166666665,2.020656,26.1
