datetime_utc,co_wrk_aux,no2_wrk_aux,no_wrk_aux,o3_wrk_aux,rh,temp,pha_quant_no2
2025-10-28 16:00:00,0.0457727118644067,-0.0010277966101694,0.0012481355932203,0.0113983050847457,41.86078271186441,17.582832372881356,6.3
2025-10-28 17:00:00,0.0323341666666666,0.0002763333333333,-0.0001574999999999,0.0135985,39.696981,17.330112333333332,6.7
2025-10-31 14:00:00,0.0448988333333333,-0.0059843333333333,0.0057346666666666,0.0044725,43.14816883333334,22.033037666666665,4.6
2025-10-31 15:00:00,0.0467366666666666,-0.0022221666666666,0.0017911666666666,0.0099443333333333,44.70588566666667,20.290838833333332,5.3
2025-10-31 16:00:00,0.0608740677966102,0.000827627118644,-0.0006313559322034,0.0155993220338983,46.13586966101695,19.165391694915257,6.2
2025-10-31 17:00:00,0.0616459999999999,0.0031923333333333,-0.0034631666666666,0.0193375,48.79116916666667,17.3837245,7.3
2025-10-31 18:00:00,0.0592138333333333,0.0030526666666666,-0.0033175,0.0190631666666666,47.403063833333334,16.8498965,7.8
2025-10-31 19:00:00,0.0435608333333333,-0.0033455,0.0032968333333333,0.0111308333333333,36.683925,20.378954833333335,6.4
2025-11-02 17:00:00,0.0376329999999999,-0.0024818333333333,0.0029598333333333,0.0163598333333333,21.5135515,23.092995333333334,7.2
2025-11-04 16:00:00,0.0191961016949152,-0.0023879661016949,0.0029311864406779,0.0180257627118644,20.62113627118644,21.50168813559322,7.6
2025-11-04 17:00:00,0.0222459999999999,-0.0016458333333333,0.0020739999999999,0.0205354999999999,19.726877,21.893322833333333,8.1
2025-11-04 18:00:00,0.0213639999999999,-0.0005731666666666,0.001621,0.0221503333333333,18.681011666666667,22.054493666666666,8.6
2025-11-07 09:00:00,0.125037,0.0105939999999999,-0.0010189999999999,0.0228468333333333,69.7584675,0.5433606666666667,23.2
2025-11-07 10:00:00,0.0957896666666666,0.0100648333333333,-0.0052114999999999,0.0217458333333333,69.48337016666666,0.4608503333333333,22.1
2025-11-07 15:00:00,0.03237,0.0006441666666666,0.0004821666666666,0.0185629999999999,25.299643666666668,18.672155833333335,7.6
2025-11-08 17:00:00,0.0145236666666666,-0.0148108333333333,0.0167963333333333,-0.0041573333333333,30.8033775,28.33540066666667,4.3
2025-11-08 18:00:00,0.008844,-0.0125128333333333,0.0150659999999999,0.0022489999999999,25.816774333333335,29.3332965,5.7
2025-11-08 19:00:00,0.0377379999999999,-0.0043951666666666,0.0069733333333333,0.0159894999999999,25.552093166666666,27.6261845,5.8
2025-11-12 19:00:00,0.0517809999999999,0.0001398333333333,0.0012316666666666,0.0170936666666666,25.792572166666663,16.763784833333332,12.4
2025-11-12 20:00:00,0.0820654999999999,0.006493,-0.003491,0.0234523333333333,29.609304,14.1529535,16.5
2025-11-14 19:00:00,0.0494566666666666,0.0024416666666666,-0.0023103333333333,0.0191198333333333,25.430120333333335,16.513955,11.3
2025-11-16 15:00:00,0.0450891666666666,-0.0019691666666666,0.0023635,0.0112343333333332,40.30021966666666,19.816036666666665,5.2
2025-11-16 16:00:00,0.0428738983050847,-0.0016981355932203,0.0011147457627118,0.0140703389830508,36.60590322033898,18.13423745762712,5.8
2025-11-16 17:00:00,0.0378684999999999,-0.0008054999999999,-7.11666666666777e-05,0.0159388333333333,34.031352166666665,17.605518166666666,7.1
2025-11-16 18:00:00,0.0285854999999999,-0.0036258333333333,0.0030866666666666,0.0114111666666666,27.164311833333333,19.927001,6.4
2025-11-16 19:00:00,0.0390393333333333,-5.250000000001087e-05,-0.0006789999999999,0.0167734999999999,27.399027333333333,17.767537333333333,8.1
2025-11-16 20:00:00,0.047478,0.0065466666666667,-0.00667,0.0239094999999999,33.482927333333336,13.264782333333333,12.5
2025-11-23 11:00:00,0.1490293333333333,0.0065361666666666,0.0035476666666666,0.0169916666666666,85.12417016666667,-2.2281795,15.2
2025-11-23 12:00:00,0.2128133333333333,0.0054291666666667,0.0104206666666666,0.0157783333333333,65.878901,3.5274015,16.6
2025-11-23 14:00:00,0.1238011666666667,0.0022786666666666,0.0051728333333333,0.0103595,33.27347266666666,13.141826833333331,13.1
2025-11-27 16:00:00,0.0276655932203389,-0.0017162711864406,0.0023096610169491,0.0173210169491525,21.558083389830507,19.017657627118645,8.4
2025-11-30 03:00:00,0.2321993333333333,0.0120431666666666,0.0021014999999999,0.0235848333333333,57.0839085,-0.6720846666666667,30.6
2025-11-30 04:00:00,0.1568481666666666,0.0108021666666666,-0.0055853333333333,0.0226466666666667,54.63688833333333,0.530977,27.9
