datetime_utc,co_wrk_aux,no2_wrk_aux,no_wrk_aux,o3_wrk_aux,rh,temp,mjf_quant_no2
2025-10-31 15:00:00,0.045084,0.0111261666666666,0.0338306666666666,0.0183076666666666,44.190291,19.778255666666663,3.6
2025-11-03 16:00:00,0.13232,0.0164164406779661,0.0348330508474576,0.0199511864406779,45.99905525423729,19.048048305084745,4.1
2025-11-05 03:00:00,0.0767411666666666,0.0199743333333333,0.0264155,0.030299,37.95234833333333,10.356573,10.0
2025-11-05 05:00:00,0.0806331666666666,0.0214591666666666,0.0262711666666666,0.0298911666666666,43.427654833333335,8.8960245,14.1
2025-11-07 01:00:00,0.0531128333333333,0.0201093333333333,0.026928,0.0303136666666666,41.645744666666666,7.949141833333333,9.8
2025-11-07 10:00:00,0.057022,0.0206093333333333,0.0268465,0.0233424999999999,55.115621166666664,2.068966666666667,16.6
2025-11-08 18:00:00,0.028406,0.0013681666666666,0.0406914999999999,0.0189218333333333,27.169059666666666,28.174771333333332,4.0
2025-11-08 19:00:00,0.0311356666666666,0.0035874999999999,0.0393068333333332,0.0221583333333333,22.993522166666665,29.323941833333333,4.5
2025-11-09 02:00:00,0.0909696666666667,0.020145,0.0265203333333333,0.0256845,49.03664966666667,10.559098666666667,9.5
2025-11-09 03:00:00,0.1376413333333333,0.0220863333333333,0.0276891666666667,0.0247713333333333,53.932916166666665,9.974853166666666,16.5
2025-11-12 16:00:00,0.0436967796610169,0.0157606779661017,0.0292455932203389,0.0267977966101695,35.254771355932206,10.571226779661016,6.2
2025-11-12 17:00:00,0.044287,0.0149496666666666,0.029798,0.0267036666666666,32.08521483333333,11.764499,6.8
2025-11-12 18:00:00,0.0384249999999999,0.0134309999999999,0.0309836666666666,0.0271998333333333,28.317690666666667,14.354621333333334,6.9
2025-11-13 23:00:00,0.0473433333333333,0.0190216666666666,0.0272616666666666,0.0273358333333333,53.562422166666664,9.498883666666666,5.6
2025-11-14 19:00:00,0.0352908333333333,0.0133991666666666,0.029834,0.0232974999999999,27.997973833333333,14.8582135,6.6
2025-11-16 19:00:00,0.0313654999999999,0.0120931666666667,0.0308559999999999,0.0238415,27.996112666666665,16.692397,5.4
2025-11-19 13:00:00,0.2053416666666666,0.0221438333333333,0.0466094999999999,0.0216874999999999,53.252066666666664,5.345805333333334,15.7
2025-11-22 01:00:00,0.1843756666666666,0.0214304999999999,0.029949,0.0222805,57.18390216666667,10.088566666666669,16.7
2025-11-22 10:00:00,0.1493596666666666,0.0191091666666666,0.0389275,0.0188288333333332,66.32770866666667,8.8175255,6.5
2025-11-22 11:00:00,0.1549118333333333,0.0188385,0.0403141666666666,0.0184718333333333,65.94222633333334,9.194788333333332,5.5
2025-11-22 13:00:00,0.1770145,0.0197346666666666,0.0435421666666666,0.0199936666666666,68.11120283333334,9.661763666666667,6.2
2025-11-23 01:00:00,0.0527386666666667,0.0175235,0.0287698333333333,0.026756,47.75705466666667,6.579691666666666,6.6
2025-11-23 14:00:00,0.1356601666666667,0.0200245,0.0375836666666666,0.0216203333333333,56.71015933333334,7.878023666666667,8.9
