datetime_utc,co_wrk_aux,no2_wrk_aux,no_wrk_aux,o3_wrk_aux,rh,temp,dpw_quant_no2
2025-10-09 22:00:00,0.0479706666666666,0.0286479999999999,0.0384705,0.0429175,24.107549833333337,15.906153333333334,18.7
2025-10-09 23:00:00,0.0619026666666666,0.0289001666666666,0.0387643333333333,0.0413666666666667,27.665999666666668,14.428179833333331,26.0
2025-10-10 00:00:00,0.183083,0.0320575,0.0434618333333333,0.0383481666666666,32.38945483333333,12.813079666666669,28.0
2025-10-10 01:00:00,0.1790318333333332,0.0330159999999999,0.0420963333333333,0.0387075,39.8790585,11.1251175,30.7
2025-10-10 02:00:00,0.1326728333333334,0.0308014999999999,0.0395393333333333,0.0371958333333333,43.88399716666667,9.849792333333331,24.5
2025-10-10 03:00:00,0.1475388333333333,0.0311281666666666,0.0406106666666666,0.0363401666666666,46.954662166666665,9.070530833333333,23.6
2025-10-10 04:00:00,0.1175798333333333,0.0306103333333333,0.0410923333333333,0.0345451666666666,48.1591405,8.635117833333334,21.7
2025-10-10 05:00:00,0.097605,0.0296164999999999,0.0407966666666666,0.0332491666666666,48.864497,8.145346,20.0
2025-10-10 06:00:00,0.1086759999999999,0.0292331666666666,0.0413068333333333,0.0321608333333333,49.707229166666664,7.485101166666667,20.1
2025-10-10 07:00:00,0.0889913333333333,0.0288071666666666,0.0413116666666666,0.0322686666666666,50.50989533333333,7.338836,20.3
2025-10-10 08:00:00,0.1049496666666666,0.0288968333333333,0.0427888333333333,0.0315763333333333,51.014372333333334,7.158646,21.1
2025-10-10 09:00:00,0.1069901666666666,0.0285376666666666,0.0427704999999999,0.0314468333333333,51.963479166666666,6.737620166666667,20.7
2025-10-10 10:00:00,0.1229814999999999,0.0289918333333333,0.0467463333333332,0.0313601666666666,52.25053116666667,6.978464833333334,21.8
2025-10-10 11:00:00,0.2297341666666666,0.0289293333333333,0.0551635,0.0314631666666666,52.411168,8.676962166666666,23.5
2025-10-10 12:00:00,0.2409896666666667,0.0241894999999999,0.0570873333333333,0.0232306666666666,37.8371395,16.7030285,23.1
2025-10-10 13:00:00,0.1395218333333333,0.0172783333333332,0.0573346666666667,0.01654,26.700082166666668,23.232948833333335,12.0
2025-10-10 14:00:00,0.0512978333333333,0.0107878333333333,0.0557463333333333,0.0154709999999999,20.275122166666662,27.333472166666667,6.8
2025-10-10 15:00:00,0.0243046666666666,0.0125425,0.051084,0.0254553333333333,18.9328045,27.324381166666665,6.6
2025-10-10 16:00:00,0.0288767796610169,0.0089815254237288,0.055883220338983,0.0243886440677966,15.575831525423729,31.10281491525424,7.5
2025-10-10 17:00:00,0.032592,0.0101394999999999,0.055124,0.0281405,15.246061,32.38936016666667,8.9
2025-10-10 18:00:00,0.0475281666666666,0.0180879999999999,0.0491455,0.0373355,17.294052333333333,31.2561635,11.7
2025-10-10 19:00:00,0.0582618333333333,0.0240518333333333,0.0440093333333333,0.0429746666666666,20.366984833333333,28.969524833333335,12.8
2025-10-10 20:00:00,0.0676145,0.0276355,0.0412165,0.0458091666666666,23.729160333333333,26.52042266666667,14.3
2025-10-10 21:00:00,0.0755253333333332,0.0308803333333333,0.0385763333333333,0.0466181666666666,28.405901166666663,23.130838166666667,15.8
2025-10-10 22:00:00,0.0863681666666666,0.0345216666666666,0.0360674999999999,0.0489305,39.006496166666665,16.915392833333332,23.4
2025-10-10 23:00:00,0.1090876666666666,0.0348165,0.0372218333333332,0.0457556666666666,45.997243833333336,14.616031,26.9
2025-10-11 00:00:00,0.1704664999999999,0.0346526666666666,0.038829,0.0414851666666666,49.517841,13.414120333333331,28.2
2025-10-11 01:00:00,0.1176313333333333,0.0333063333333333,0.0386543333333333,0.0403796666666667,52.991707,12.832053166666666,25.1
2025-10-11 02:00:00,0.1258813333333333,0.0314631666666667,0.0395941666666666,0.0370854999999999,54.21791666666667,12.496766,23.8
2025-10-11 03:00:00,0.1344798333333334,0.031733,0.0405376666666666,0.0357861666666666,56.34814083333333,12.246128666666667,24.5
2025-10-11 04:00:00,0.1233201666666666,0.0297445,0.0404956666666666,0.0339713333333333,53.439658,14.432375833333332,22.9
2025-10-11 05:00:00,0.0863303333333334,0.0273005,0.0415726666666667,0.0321113333333333,50.689269333333336,15.435698333333333,19.4
2025-10-11 06:00:00,0.0895271666666666,0.0262191666666666,0.0419809999999999,0.0322064999999999,49.65848483333333,16.074283333333334,17.7
2025-10-11 07:00:00,0.1066091666666667,0.0263928333333333,0.0425726666666667,0.0306916666666666,48.615561166666666,16.490802,22.4
2025-10-11 08:00:00,0.1017921666666666,0.0258226666666667,0.0425859999999999,0.0302456666666666,47.98622966666667,16.78786016666667,20.0
2025-10-11 09:00:00,0.0986653333333333,0.0260455,0.0422015,0.0301271666666666,48.425554166666664,17.115228333333334,21.6
2025-10-11 10:00:00,0.0883713333333333,0.0269118333333333,0.0417478333333333,0.0317683333333333,50.35863766666667,16.77574,20.6
2025-10-11 11:00:00,0.1014948333333333,0.0257514999999999,0.0428898333333333,0.0295136666666666,50.940198,16.893334499999998,19.8
2025-10-11 12:00:00,0.0949595,0.025322,0.0443176666666666,0.0296158333333333,47.478108,18.937884,13.4
2025-10-11 13:00:00,0.0926994999999999,0.0218248333333332,0.0477436666666666,0.0275161666666666,41.8256015,22.325413833333332,9.4
2025-10-11 14:00:00,0.0413804999999999,0.0090838333333333,0.0579321666666666,0.0162156666666666,28.4601935,29.6402925,5.5
2025-10-11 15:00:00,0.0246148333333333,0.0152735,0.0501183333333333,0.0321518333333333,30.46730833333333,28.560364,6.4
2025-10-11 16:00:00,0.0273779661016949,0.0155347457627119,0.0509833898305084,0.0342108474576271,29.406352033898305,29.57652966101695,6.4
2025-10-11 17:00:00,0.0564066666666666,0.0230524999999999,0.0456991666666666,0.0430713333333332,34.33578516666667,27.18362266666667,10.7
