datetime_utc,co_wrk_aux,no2_wrk_aux,no_wrk_aux,o3_wrk_aux,rh,temp,pema_quant_no2
2025-10-31 15:00:00,0.0468768333333333,0.0015924999999999,0.0182126666666666,-0.0102991666666666,42.106990333333336,21.0604955,4.8
2025-11-03 16:00:00,0.1629938983050847,0.0096484745762712,0.01804,-0.0016662711864406,44.23039389830508,19.621340677966103,12.7
2025-11-05 03:00:00,0.1342344999999999,0.0159165,0.0110554999999999,0.0057511666666666,39.05468616666666,10.544696166666666,24.8
2025-11-05 05:00:00,0.1154541666666666,0.0149309999999999,0.0110653333333333,0.0051751666666666,41.212684833333334,9.9839855,23.3
2025-11-07 01:00:00,0.0796421666666666,0.013809,0.0094965,0.0065101666666667,40.436618333333335,8.809531166666666,21.4
2025-11-07 10:00:00,0.0993961666666666,0.0157868333333333,0.0133376666666666,0.0001434999999999,52.997704666666664,4.0611445,20.5
2025-11-08 18:00:00,0.0262211666666666,-0.0053785,0.0230598333333333,-0.0105648333333333,28.1211865,26.993997833333335,5.2
2025-11-08 19:00:00,0.0271183333333333,-0.0027263333333333,0.0208395,-0.0061236666666666,25.376747333333338,28.204982,5.3
2025-11-09 02:00:00,0.2454833333333332,0.0152848333333333,0.0152428333333333,0.0026079999999999,41.162734,13.2219,26.5
2025-11-09 03:00:00,0.2538921666666667,0.01599,0.0174451666666666,0.0016349999999999,43.6471625,12.610464166666668,25.6
2025-11-12 16:00:00,0.0405977966101695,0.0073374576271186,0.0134315254237287,0.0012866101694914,32.904396440677964,11.413324745762711,12.3
2025-11-12 17:00:00,0.0431061666666666,0.0065365,0.0141316666666666,0.0006621666666666,29.977709166666667,12.740214166666666,12.8
2025-11-12 18:00:00,0.0437421666666666,0.0057495,0.0146889999999999,0.0004001666666666,27.4693585,14.553194666666666,13.4
2025-11-13 23:00:00,0.0783965,0.0117726666666666,0.0106314999999999,0.0031273333333333,50.813361,10.640391833333334,12.8
2025-11-14 19:00:00,0.0523184999999999,0.0075121666666666,0.0130279999999999,-5.099999999996774e-05,27.88363627118644,14.71297813559322,10.9
2025-11-16 19:00:00,0.0330129999999999,0.0050021666666666,0.013797,-0.0016515,25.871525833333333,17.953506333333333,8.3
2025-11-19 13:00:00,0.2317441666666667,0.0134064999999999,0.0369138333333333,-0.0038446666666666,44.763669666666665,7.3335105,21.7
2025-11-22 01:00:00,0.1660571666666667,0.0146773333333333,0.0124813333333333,2.8000000000028e-05,57.570196833333334,11.5299505,24.2
2025-11-22 10:00:00,0.2310211666666666,0.0127955,0.0292923333333333,-0.0046436666666666,65.279544,11.109160166666667,18.2
2025-11-22 11:00:00,0.2870108333333332,0.0130788333333333,0.0325631666666667,-0.0043283333333333,67.0651295,11.093466166666667,18.6
2025-11-22 13:00:00,0.3489735,0.0135934999999999,0.0460653333333332,-0.0040133333333333,72.36189316666666,11.113048333333332,18.1
2025-11-23 01:00:00,0.1143474999999999,0.0103418333333333,0.0136743333333332,0.0023751666666666,44.994395833333336,7.685034,18.6
2025-11-23 14:00:00,0.1764285,0.0070041666666666,0.0238436666666666,-0.0094188333333333,35.331692833333335,11.915912166666669,15.5
2025-11-23 15:00:00,0.0606266666666666,0.0032274999999999,0.0164526666666666,-0.0055533333333333,29.794120166666666,13.162714333333334,9.6
2025-11-23 16:00:00,0.0279830508474576,0.0055227118644067,0.0140310169491525,-0.0013142372881356,28.801024745762714,12.626722542372882,10.8
2025-11-23 17:00:00,0.0374506666666666,0.007705,0.0131533333333333,0.0021014999999999,31.208638,11.689162166666666,12.4
2025-11-23 18:00:00,0.0462508333333333,0.0088845,0.0129328333333333,0.0031829999999999,32.421728333333334,11.5456565,12.8
2025-11-23 22:00:00,0.1819659999999999,0.0145266666666666,0.0164553333333333,0.0024338333333333,41.04511383333333,10.1791595,27.6
2025-11-24 00:00:00,0.2565781666666666,0.0157819999999999,0.0187888333333333,0.0001216666666666,45.7550815,9.0887075,27.1
2025-11-24 05:00:00,0.0937993333333333,0.0138786666666666,0.0104333333333332,0.001647,60.523073333333336,6.567148833333333,18.3
2025-11-25 15:00:00,0.1265071666666666,0.0082786666666666,0.0170666666666666,-0.0047174999999999,43.99814083333333,15.7380405,12.8
2025-11-26 01:00:00,0.0804351666666666,0.0137578333333333,0.0095034999999999,0.0085223333333333,70.398091,13.826716,18.8
2025-11-26 03:00:00,0.0651921666666667,0.0132673333333333,0.0102523333333333,0.0060161666666666,74.238929,13.833633666666667,18.7
2025-11-28 15:00:00,0.0316076666666667,0.0056684999999999,0.013927,0.000863,27.203091666666666,12.4254165,13.0
2025-11-28 16:00:00,0.0289471666666666,0.0053565,0.0144591666666666,0.0018534999999999,24.794808833333335,13.460137333333334,13.3
2025-11-30 05:00:00,0.2315141666666667,0.0163261666666666,0.0185854999999999,0.0007688333333333,43.93594316666667,3.539351833333334,26.4
2025-11-30 14:00:00,0.1498496666666666,0.0128818333333333,0.0163545,-0.0001678333333333,39.5868045,8.684537833333334,23.6
2025-12-02 06:00:00,0.1223068333333333,0.0155593333333333,0.0135368333333333,0.0005168333333332,46.5579295,1.5648475,25.0
2025-12-02 09:00:00,0.0932086666666666,0.013809,0.0113041666666666,0.0002469999999999,41.19738566666667,4.444324666666667,24.5
