datetime_utc,co_wrk_aux,no2_wrk_aux,no_wrk_aux,o3_wrk_aux,rh,temp,mjf_quant_no2
2025-11-05 03:00:00,0.0767411666666666,0.0199743333333333,0.0264155,0.030299,37.95234833333333,10.356573,10.0
2025-11-05 05:00:00,0.0806331666666666,0.0214591666666666,0.0262711666666666,0.0298911666666666,43.427654833333335,8.8960245,14.1
2025-11-07 01:00:00,0.0531128333333333,0.0201093333333333,0.026928,0.0303136666666666,41.645744666666666,7.949141833333333,9.8
2025-11-07 07:00:00,0.0372968333333333,0.0190068333333333,0.0266854999999999,0.0272688333333333,46.93516316666667,4.1313575,9.5
2025-11-07 10:00:00,0.057022,0.0206093333333333,0.0268465,0.0233424999999999,55.115621166666664,2.068966666666667,16.6
2025-11-09 02:00:00,0.0909696666666667,0.020145,0.0265203333333333,0.0256845,49.03664966666667,10.559098666666667,9.5
2025-11-09 03:00:00,0.1376413333333333,0.0220863333333333,0.0276891666666667,0.0247713333333333,53.932916166666665,9.974853166666666,16.5
2025-11-09 08:00:00,0.1411235,0.0207826666666666,0.0330743333333333,0.0209558333333333,58.10669033333333,8.332058666666667,13.6
2025-11-14 04:00:00,0.0508841666666666,0.0181978333333333,0.027857,0.0217073333333333,55.65268183333333,6.0846935,6.3
2025-11-19 13:00:00,0.2053416666666666,0.0221438333333333,0.0466094999999999,0.0216874999999999,53.252066666666664,5.345805333333334,15.7
2025-11-21 00:00:00,0.1496826666666666,0.0237553333333332,0.0294383333333333,0.0247251666666666,52.01755283333333,4.617137666666666,18.6
2025-11-21 14:00:00,0.3736721666666667,0.0227208333333333,0.0813493333333333,0.0193981666666666,57.618227166666664,9.064789333333334,15.5
2025-11-22 01:00:00,0.1843756666666666,0.0214304999999999,0.029949,0.0222805,57.18390216666667,10.088566666666669,16.7
2025-11-22 07:00:00,0.1380469999999999,0.0198423333333333,0.0318978333333333,0.0198398333333333,65.01380416666666,8.434176666666668,10.4
2025-11-22 09:00:00,0.1334443333333333,0.0199386666666666,0.0352598333333333,0.0199134999999999,66.90559866666666,7.931426833333333,8.7
2025-11-22 10:00:00,0.1493596666666666,0.0191091666666666,0.0389275,0.0188288333333332,66.32770866666667,8.8175255,6.5
2025-11-22 11:00:00,0.1549118333333333,0.0188385,0.0403141666666666,0.0184718333333333,65.94222633333334,9.194788333333332,5.5
2025-11-22 13:00:00,0.1770145,0.0197346666666666,0.0435421666666666,0.0199936666666666,68.11120283333334,9.661763666666667,6.2
2025-11-23 01:00:00,0.0527386666666667,0.0175235,0.0287698333333333,0.026756,47.75705466666667,6.579691666666666,6.6
2025-11-23 03:00:00,0.0602641666666666,0.0171726666666666,0.0272604999999999,0.0248645,50.389519166666666,4.407178166666666,7.3
2025-11-23 22:00:00,0.1208138333333333,0.0204943333333333,0.0280593333333333,0.0252344999999999,44.33535966666667,8.379361333333334,14.1
2025-11-24 00:00:00,0.111954,0.0201541666666666,0.0280289999999999,0.0229743333333333,47.611851333333334,7.4294165,14.3
2025-11-24 05:00:00,0.070894,0.0196093333333333,0.0268526666666666,0.0227736666666666,59.537917666666665,5.049837,9.6
2025-11-24 06:00:00,0.0700423333333333,0.0199786666666666,0.0272168333333333,0.023425,61.44280033333333,4.582926166666667,10.0
2025-11-25 15:00:00,0.0643028333333333,0.0135448333333333,0.0299681666666666,0.0195206666666666,47.86518316666667,15.4537145,1.2
2025-11-26 01:00:00,0.0587113333333333,0.0190584999999999,0.0263618333333333,0.0287664999999999,67.5455995,12.685198666666668,1.7
2025-11-26 03:00:00,0.0551794999999999,0.0186798333333333,0.0263893333333333,0.0278265,72.270871,12.516105666666666,1.4
2025-11-26 23:00:00,0.0699981666666667,0.0174583333333333,0.026993,0.024981,70.16463383333334,17.240739833333333,1.4
2025-11-27 00:00:00,0.0659261666666666,0.0172106666666667,0.0268974999999999,0.0252408333333333,71.08362916666667,16.994941333333333,1.2
2025-11-27 22:00:00,0.0524021666666666,0.0197331666666666,0.0265001666666666,0.0311773333333332,35.039019,7.891844166666667,8.8
2025-11-27 23:00:00,0.0539854999999999,0.0196828333333333,0.026992,0.0300561666666666,35.884328833333335,7.927258333333333,8.6
2025-11-29 11:00:00,0.0193231666666666,0.0181096666666666,0.0272418333333333,0.0309163333333333,44.124799833333334,2.7354015,6.2
2025-11-30 03:00:00,0.1757221666666666,0.0236081666666667,0.0314301666666666,0.0235491666666666,48.48727616666667,0.3916676666666667,23.3
2025-11-30 04:00:00,0.1803433333333333,0.0238118333333333,0.0376926666666666,0.0229721666666666,49.940797833333335,1.1369171666666666,22.2
