local_timestamp,epoch,datetime,node_file_id,co_wrk_aux,no2_wrk_aux,no_wrk_aux,o3_wrk_aux,rh,temp,node_id
2025-10-08 14:00:00,1759957200.0,2025-10-08 21:00:00,6264147,0.07821933333333336,-0.019430166666666637,0.026894333333333298,-0.00024249999999997884,,,276
2025-10-08 16:00:00,1759964400.0,2025-10-08 23:00:00,6264814,0.08051616666666661,-0.016653499999999988,0.024906166666666674,0.0017591666666667005,,,276
2025-10-08 17:00:00,1759968000.0,2025-10-09 00:00:00,6265155,0.08958650000000007,-0.015961166666666637,0.0247526666666667,0.0025800000000000267,,,276
2025-10-08 18:00:00,1759971600.0,2025-10-09 01:00:00,6265693,0.11224266666666671,-0.012999833333333377,0.023088166666666687,0.005258333333333365,,,276
2025-10-08 20:00:00,1759978800.0,2025-10-09 03:00:00,6266735,0.08411583333333333,-0.01428033333333334,0.022849833333333347,0.004923999999999984,,,276
2025-10-08 21:00:00,1759982400.0,2025-10-09 04:00:00,6266916,0.052842500000000014,-0.014282333333333341,0.02236983333333331,0.006147666666666662,,,276
2025-10-08 22:00:00,1759986000.0,2025-10-09 05:00:00,6267016,0.055376166666666726,-0.013117333333333314,0.021882333333333337,0.006784166666666647,,,276
2025-10-08 23:00:00,1759989600.0,2025-10-09 06:00:00,6267110,0.07339183333333327,-0.01275616666666668,0.02164900000000003,0.006689666666666649,,,276
2025-10-09 00:00:00,1759993200.0,2025-10-09 07:00:00,6267205,0.05949683333333333,-0.01283816666666665,0.02173149999999996,0.006062499999999971,,,276
2025-10-09 01:00:00,1759996800.0,2025-10-09 08:00:00,6267330,0.06060749999999998,-0.012018166666666663,0.02282783333333338,0.005652666666666695,,,276
2025-10-09 02:00:00,1760000400.0,2025-10-09 09:00:00,6267437,0.09526949999999995,-0.01103616666666668,0.021117833333333336,0.005154333333333316,,,276
2025-10-09 03:00:00,1760004000.0,2025-10-09 10:00:00,6267528,0.11367583333333331,-0.010451999999999961,0.022223166666666627,0.004697000000000007,,,276
2025-10-09 04:00:00,1760007600.0,2025-10-09 11:00:00,6267622,0.12323599999999996,-0.013416166666666673,0.028944666666666674,0.0006616666666666715,,,276
2025-10-09 05:00:00,1760011200.0,2025-10-09 12:00:00,6267746,0.10195516666666671,-0.016378833333333342,0.03068933333333329,-0.001468999999999998,,,276
2025-10-09 06:00:00,1760014800.0,2025-10-09 13:00:00,6267861,0.05506566666666668,-0.020382166666666646,0.030625500000000028,-0.0027505000000000446,,,276
2025-10-09 07:00:00,1760018400.0,2025-10-09 14:00:00,6267956,0.05663733333333326,-0.019251166666666708,0.028389500000000012,0.00027599999999999847,,,276
2025-10-09 08:00:00,1760022000.0,2025-10-09 15:00:00,6268047,0.03184150000000002,-0.02037283333333334,0.027057499999999957,0.0007446666666666157,,,276
2025-10-09 09:00:00,1760025600.0,2025-10-09 16:00:00,6268176,0.0230233898305085,-0.021847288135593224,0.028725932203389815,-0.00016101694915254816,,,276
2025-10-09 10:00:00,1760029200.0,2025-10-09 17:00:00,6269032,0.018562000000000023,-0.02171999999999996,0.029084333333333323,0.0013761666666666783,,,276
2025-10-09 11:00:00,1760032800.0,2025-10-09 18:00:00,6269142,0.03662633333333337,-0.06224366666666664,0.028967500000000035,0.004258666666666633,,,276
2025-10-09 12:00:00,1760036400.0,2025-10-09 19:00:00,6269256,0.031995333333333376,-0.01848133333333335,0.026570499999999997,0.005858833333333369,,,276
2025-10-09 14:00:00,1760043600.0,2025-10-09 21:00:00,6269485,0.041480499999999976,-0.012880166666666693,0.02072833333333335,0.011562666666666666,,,276
2025-10-09 15:00:00,1760047200.0,2025-10-09 22:00:00,6269578,0.05509350000000002,-0.008166499999999965,0.017192833333333324,0.01487333333333335,,,276
2025-10-09 16:00:00,1760050800.0,2025-10-09 23:00:00,6269671,0.08445799999999998,-0.007319166666666654,0.016929666666666676,0.013122833333333361,,,276
2025-10-09 17:00:00,1760054400.0,2025-10-10 00:00:00,6269811,0.14017133333333337,-0.007087833333333349,0.017947000000000046,0.01059566666666667,,,276
2025-10-09 18:00:00,1760058000.0,2025-10-10 01:00:00,6269930,0.22120533333333336,-0.00446616666666666,0.020338166666666713,0.009034833333333325,,,276
2025-10-09 19:00:00,1760061600.0,2025-10-10 02:00:00,6270030,0.15014083333333333,-0.006405666666666643,0.018114500000000033,0.00846849999999999,,,276
2025-10-09 20:00:00,1760065200.0,2025-10-10 03:00:00,6270132,0.14424983333333335,-0.007005499999999998,0.018833666666666637,0.00664950000000003,,,276
2025-10-09 21:00:00,1760068800.0,2025-10-10 04:00:00,6270256,0.14240933333333328,-0.00826966666666662,0.01894866666666667,0.005054833333333342,,,276
2025-10-09 22:00:00,1760072400.0,2025-10-10 05:00:00,6270369,0.13564800000000005,-0.009605499999999989,0.019115666666666642,0.004259833333333352,,,276
2025-10-10 00:00:00,1760079600.0,2025-10-10 07:00:00,6270535,0.12721683333333328,-0.010510999999999993,0.02115250000000002,0.002978666666666685,,,276
2025-10-10 01:00:00,1760083200.0,2025-10-10 08:00:00,6270671,0.13745633333333335,-0.009788499999999978,0.021341500000000013,0.0026161666666666417,,,276
2025-10-10 02:00:00,1760086800.0,2025-10-10 09:00:00,6270766,0.13663933333333328,-0.009506666666666663,0.021465999999999985,0.0025568333333333415,,,276
2025-10-10 03:00:00,1760090400.0,2025-10-10 10:00:00,6270877,0.17903249999999998,-0.009224833333333349,0.026521833333333356,0.0020281666666667197,,,276
2025-10-10 05:00:00,1760097600.0,2025-10-10 12:00:00,6271057,0.2691421666666666,-0.016196166666666678,0.04612649999999996,-0.008021666666666705,,,276
2025-10-10 06:00:00,1760101200.0,2025-10-10 13:00:00,6271256,0.13611183333333332,-0.020736000000000032,0.03989233333333336,-0.010421500000000028,,,276
2025-10-10 07:00:00,1760104800.0,2025-10-10 14:00:00,6271359,0.06488450000000001,-0.024125833333333346,0.0372608333333333,-0.01100266666666666,,,276
2025-10-10 08:00:00,1760108400.0,2025-10-10 15:00:00,6271449,0.02591850000000001,-0.024547166666666675,0.032332999999999945,-0.0036333333333333218,,,276
2025-10-10 09:00:00,1760112000.0,2025-10-10 16:00:00,6271640,0.02356406779661019,-0.025032542372881383,0.035170508474576256,-0.0022942372881356032,,,276
2025-10-10 10:00:00,1760115600.0,2025-10-10 17:00:00,6271772,0.025226499999999985,-0.021044166666666697,0.03187433333333334,0.005014833333333357,,,276
2025-10-10 12:00:00,1760122800.0,2025-10-10 19:00:00,6271915,0.05432149999999997,-0.012481333333333344,0.024449833333333337,0.015692499999999998,,,276
2025-10-10 13:00:00,1760126400.0,2025-10-10 20:00:00,6272088,0.07329316666666663,-0.010980666666666639,0.022657500000000053,0.01680733333333334,,,276
2025-10-10 15:00:00,1760133600.0,2025-10-10 22:00:00,6272581,0.09227499999999994,-0.0032783333333333275,0.015618500000000035,0.0224766666666667,,,276
2025-10-10 16:00:00,1760137200.0,2025-10-10 23:00:00,6272838,0.1345371666666667,-0.003453333333333364,0.015765333333333298,0.01955133333333331,,,276
2025-10-10 17:00:00,1760140800.0,2025-10-11 00:00:00,6273125,0.15816299999999994,-0.0032318333333333227,0.018032666666666697,0.01496516666666664,,,276
2025-10-10 21:00:00,1760155200.0,2025-10-11 04:00:00,6273610,0.1602033333333333,-0.009106499999999962,0.01972916666666663,0.0057755000000000445,,,276
2025-10-10 22:00:00,1760158800.0,2025-10-11 05:00:00,6279168,0.10994466666666664,-0.011026499999999995,0.02048166666666662,0.004728999999999983,,,276
2025-10-10 23:00:00,1760162400.0,2025-10-11 06:00:00,6279157,0.11076533333333333,-0.011613166666666674,0.020944666666666667,0.004345333333333368,,,276
2025-10-11 00:00:00,1760166000.0,2025-10-11 07:00:00,6279086,0.15670633333333328,-0.01086733333333334,0.022738666666666685,0.003188666666666673,,,276
2025-10-11 01:00:00,1760169600.0,2025-10-11 08:00:00,6279104,0.1145186666666666,-0.011381333333333299,0.02209833333333333,0.0034096666666666997,,,276
2025-10-11 02:00:00,1760173200.0,2025-10-11 09:00:00,6279163,0.11746566666666663,-0.010242666666666678,0.02188366666666669,0.004158666666666699,,,276
2025-10-11 03:00:00,1760176800.0,2025-10-11 10:00:00,6279092,0.09385133333333329,-0.010050500000000018,0.022258999999999973,0.004372166666666677,,,276
2025-10-11 04:00:00,1760180400.0,2025-10-11 11:00:00,6279192,0.10351750000000004,-0.010966000000000031,0.02607166666666666,0.0023394999999999944,,,276
2025-10-11 05:00:00,1760184000.0,2025-10-11 12:00:00,6279185,0.12293033333333336,-0.01724800000000004,0.02613099999999996,-0.0034809999999999564,,,276
2025-10-11 06:00:00,1760187600.0,2025-10-11 13:00:00,6279184,0.10844966666666667,-0.020009,0.030807666666666678,-0.005538999999999961,,,276
2025-10-11 07:00:00,1760191200.0,2025-10-11 14:00:00,6279112,0.04114966666666664,-0.02873500000000001,0.03700066666666668,-0.012931833333333365,,,276
